DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P771;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7247304;4;1;4;438,176736860409;2;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
7247309;3;1;3;495,861165565057;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2; ; ; ; ;1;1; ; ; 
7247312;3;1;3;440,229867270236;2;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1; ; ;1;1; ; ; ; ; ; ; 
7247331;4;1;4;466,846239977154;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
7247331;5;1;5;466,846239977154;2;2;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ;1;1; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
7247345;5;1;5;466,474210243737;1; ; ;1;2; ;1;28000;2; ;2; ;2; ;1;32000;1;2000;2; ;1;3; ; ;1000;1;3; ; ;1000;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;1;2; ; ; ; ; ; ; 
7247352;3;1;3;532,791801933098;1; ; ;1;2; ;2; ;2; ;1;50000;2; ;2; ;2; ;2; ;1;3; ; ;20000;1;3; ; ;7000;1;2; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2;1;1; ; ; ; ; ; ; 
7247352;4;1;4;532,791801933098;2;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ;1;1;1;2; ; ; ; ; 
7247352;5;1;5;532,791801933098;2;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4; ; ; ;1;4; ; ; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; 
7247353;4;1;4;571,463170079866;1; ; ;5;1;80000;1;65000;2; ;1;75000;2; ;2; ;2; ;2; ;1;4; ; ; ;1;4; ; ; ;2; ;2;65;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; 
