P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
2,75,3,-1,6,5,10,1,4,4,5,4.83,1,1,4,1,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,64,4,-1,6,9,8,9,8,7,9,8.33,1,4,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,83,5,-1,6,7,5,5,5,2,3,4.5,1,4,2,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,1200000
1,80,5,-1,6,7,7,6,7,7,6,6.67,1,4,2,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,1200000
1,79,3,-1,6,8,9,8,8,4,8,7.5,1,4,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,64,3,-1,6,7,10,9,6,0,6,6.33,1,1,2,1,2,4,1,3,0,2,2,2,2,2,0,2,1,2,1,2,2,0,0,2,0,0
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,3000000
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,96,1,0,0
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,1,35000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,3000000
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,1,35000,2,2,2,2,2,0,2,2,2,2,2,2,0,96,1,0,0
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,3000000
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,96,1,0,0
2,70,3,-1,6,6,10,5,6,3,6,6.0,2,1,3,1,2,5,1,1,35000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,3000000
